,0,1,2,3,4,5
0,1973,東証1部,ＮＥＣネッツエスアイ(株),ＮＥＣの工事部門が独立。一般企業・通信会社向けにシステム構築やクラウド提供。通信工事も,11:30,"1,838"
1,2138,東証JQS,クルーズ(株),低価格帯ブランドが強みの衣料品ＥＣ「ＳＨＯＰＬＩＳＴ」が収益柱。ゲーム部門を大幅に縮小,11:29,"1,010"
2,2303,東証JQS,(株)ドーン,地理情報システム（ＧＩＳ）の開発・販売と防災分野を中心としたクラウドサービスが主力,11:27,"2,131"
3,2307,東証1部,(株)クロスキャット,ソフトウェア開発軸の中堅ＳＩ。クレジット向けシステム強み。Ｍ＆Ａで製造系、西日本へ展開,11:29,"1,644"
4,2315,東証JQS,(株)ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,銀行や保険、暗号資産取引所など金融向け柱のＳＩ。子会社にｅワラント証券。フィスコと親密,11:30,170
5,2317,東証1部,(株)システナ,ソフト開発支援が主。端末向けから車載向け等にシフト加速。運用・保守も。配当性向４０％メド,11:30,463
6,2321,東証JQG,(株)ソフトフロントホールディングス,ＩＰ電話など通信事業者向けソフト開発。買収「筆まめ」や美容サロン１７年手放し、先祖返り,11:29,103
7,2323,東証JQS,(株)ｆｏｎｆｕｎ,スマホでＰＣメール利用可能な法人向けリモートメールが主。ＳＭＳ使う販促ツールが拡大中,10:15,306
8,2326,東証1部,デジタルアーツ(株),ネットセキュリティ専業。安全サイトのみ接続できるフィルタ技術に強み。コンサル事業育成,11:30,"9,200"
9,2327,東証1部,日鉄ソリューションズ(株),日本製鉄系ＳＩで、同社依存度は約２０％。製造、流通、金融系システム構築に強み。配当性向３０％,11:30,"3,650"
10,2329,東証JQS,(株)東北新社,ＣＭ制作や外国映画の日本語版制作で首位級。衛星放送のチャンネル運営、映画の制作・配給も,11:12,656
11,2330,東証JQS,(株)フォーサイド,アミューズメント機器向け景品製販が主。家賃保証、金融仲介、ティーンズ雑誌など経営多角化,11:29,110
12,2332,東証JQS,(株)クエスト,ソフト開発とシステム運用が両輪。半導体、製造、通信に強い。キオクシアが有力顧客の１つ,11:19,"1,389"
13,2335,東証1部,(株)キューブシステム,金融、流通、通信向けのシステム構築が主力。プロジェクト管理能力に定評。研修制度充実,10:59,972
14,2338,東証2部,クオンタムソリューションズ(株),携帯システム構築祖業。フィンテック撤退、５Ｇ・ＡＩ関連に活路。都内軸にまつげサロン運営,11:15,818
15,2345,東証2部,(株)クシム,学習管理システム、ｅラーニングシステム開発。ブロックチェーンも手がける。旧アイスタディ,11:28,343
16,2349,東証JQS,(株)エヌアイデイ,独立系ＳＩ。システム開発から保守・運用まで一貫体制。組み込み開発に強み。安定顧客多い,10:41,"1,501"
17,2351,マザーズ,(株)ＡＳＪ,サーバーホスティング業界中堅。ネット予約・決済等に進出。商工会議所に顧客基盤。Ｍ＆Ａ注力,11:04,672
18,2352,東証1部,(株)ＷＯＷ　ＷＯＲＬＤ,メールを利用したクラウド型販売支援ソフトの開発・販売が柱。最高レベルの配信速度が強み,11:26,"1,460"
19,2354,東証2部,(株)ＹＥ　ＤＩＧＩＴＡＬ,安川電機の持分法適用会社。システム構築と組み込みソフト開発が主力。ＩｏＴ分野を強化中,11:27,523
20,2359,東証1部,(株)コア,独立系ＳＩ。車載やスマートデバイス向け組み込みソフトが主力。金融向けシステム等も強い,11:06,"1,632"
21,2411,東証JQS,ゲンダイエージェンシー(株),パチンコ店の広告取り扱い専業１位、チラシなど紙媒体からネット活用拡大へ。他業種向けも,11:25,333
22,2480,東証JQS,システム・ロケーション(株),自動車金融・販売の支援システムが柱。中古車のビッグデータ収集と分析に強みを持つ,12/09,"1,659"
23,2484,東証JQS,(株)出前館,出前仲介サイト「出前館」を運営。配達代行業務、飲食店向け酒類通販も展開。ＺＨＤ傘下,11:30,739
24,3031,東証1部,(株)ラクーンホールディングス,衣料・雑貨の企業間電子商取引「スーパーデリバリー」運営。掛け売り決済代行、売掛債権保証も,11:30,"1,387"
25,3040,東証1部,(株)ソリトンシステムズ,セキュリティ対策ソフトとシステム構築が柱。映像伝送や人感センサーなど育成。技術力定評,11:30,"1,368"
26,3042,東証JQG,(株)セキュアヴェイル,情報セキュリティ構築やログ（使用履歴）分析サービスに特化。２４時間有人対応監視に特色,11:23,256
27,3371,東証1部,(株)ソフトクリエイトホールディングス,ｅコマースサイト構築エンジン「ｅｃｂｅｉｎｇ」の提供から、ＳＩ・ＰＣ販売まで幅広く展開,11:29,"4,510"
28,3622,マザーズ,ネットイヤーグループ(株),顧客体験を重視したネットマーケティング支援に特徴。ＴＯＢでＮＴＴデータのグループに,11:26,597
29,3623,マザーズ,ビリングシステム(株),インターネット決済サービスの収納代行、クイック入金が柱。中国「微信」決済分野も強化中,11:27,"1,035"
30,3624,マザーズ,アクセルマーク(株),スマホ向けゲーム開発、配信。自社オリジナルの企画開発に強み。モバイル広告事業も展開,11:28,478
31,3625,東証JQG,テックファームホールディングス(株),アプリや各種システムの受託開発を展開。５ＧやＡＩ関連の開発も。農水産物の輸出事業も育成,11:30,590
32,3626,東証1部,ＴＩＳ(株),独立系ＳＩ大手。クレジットカードなど決済向け強い。傘下に旧コマツ・旭化成系システム会社,11:30,"3,500"
33,3627,東証1部,ＪＮＳホールディングス(株),受託開発はＡＩ・ＩｏＴ分野の開発に強み。中国でデバイス事業展開。キッズ向けコンテンツも,11:17,500
34,3628,マザーズ,(株)データホライゾン,保険者向けのジェネリック医薬品通知サービスが柱。加入者の健康推進目的の保健事業支援も,11:25,"2,033"
35,3632,東証1部,グリー(株),携帯ゲームＳＮＳ「ＧＲＥＥ」運営から、スマホゲームが主軸に。Ｖチューバー事業にも力点,11:30,786
36,3633,東証1部,ＧＭＯペパボ(株),ＧＭＯ傘下。柱のレンタルサーバーに加えハンドメイド品フリマアプリなどＥＣ関連急成長中,11:30,"2,541"
37,3634,東証2部,(株)ソケッツ,音楽、動画配信サービス向けに感性データに基づくレコメンド等の機能提供。消費財分野強化中,10:24,751
38,3635,東証1部,(株)コーエーテクモホールディングス,ゲームソフト中堅のコーエーとテクモが０９年経営統合。オンラインゲーム含め海外展開強化へ,11:30,"4,820"
39,3636,東証1部,(株)三菱総合研究所,コンサルとＩＴサービスの２本柱。コンサルでは理系の研究者多数抱える。官公庁や金融に強み,11:30,"3,895"
40,3639,東証1部,(株)ボルテージ,恋愛シミュレーションゲーム先駆。携帯公式サイト向けやスマホ向けに配信。顧客は女性が中心,11:30,372
41,3640,東証1部,(株)電算,信越地盤の情報処理・システム開発中堅。首都圏へも展開。市役所など地方自治体向けに強み,09:28,"2,354"
42,3641,東証JQS,(株)パピレス,９５年富士通の社外ベンチャーとして設立。電子書籍のレンタルサイト「Ｒｅｎｔａ！」を運営,11:30,"1,184"
43,3645,マザーズ,(株)メディカルネット,インプラント、矯正など自由診療歯科向けサイト運営。Ｗｅｂマーケなど歯科経営支援も育成,11:30,495
44,3646,マザーズ,(株)駅探,経路検索サービス「駅探」運営。モバイル経由の個人課金、法人向けライセンス販売、広告を展開,11:03,450
45,3647,東証2部,(株)ジー・スリーホールディングス,太陽光発電所関連事業を展開。発電所の取得・売却、周辺機器販売、自社運営発電所の売電が主,11:27,358
46,3648,東証1部,ＡＧＳ(株),独立系情報システム会社。データセンター運用、ソフト開発が柱。年商１割超がりそなＨＤ向け,11:05,868
47,3649,東証1部,(株)ファインデックス,大学病院など大病院に医療用データ管理システムを提供。一般産業向けに文書管理システムも,11:30,"1,088"
48,3652,マザーズ,(株)ディジタルメディアプロフェッショナル,研究開発型ファブレス半導体企業。描画向け回路設計の使用許諾から、ＡＩ関連に軸足移行,11:18,"1,661"
49,3653,マザーズ,(株)モルフォ,手ぶれ補正などスマホ用画像・動画処理ソフトのロイヤルティが柱。ディープラーニング関連も,11:10,"1,203"
